Time [s],Channel 0,Channel 1,SDA_O,SDA_T,SCL_O,SCL_T,ena,busy
7.070675211,1,1,0,1,0,1,0,0
7.070708875,1,1,0,1,1,1,0,0
7.070750542,1,1,0,1,0,1,0,0
7.070792208,1,1,0,1,1,1,0,0
7.070833917,1,1,0,1,0,1,0,0
7.070875583,1,1,0,1,1,1,0,0
7.070917292,1,1,0,1,0,1,0,0
7.070958958,1,1,0,1,1,1,0,0
7.070968542,1,1,0,1,1,1,1,0
7.070968708,1,1,0,1,1,1,0,0
7.071000625,1,1,0,1,0,1,0,0
7.071021500,1,0,0,1,0,1,0,1
7.071021583,1,1,0,1,0,1,0,1
7.071042333,1,1,0,1,1,1,0,1
7.071063167,1,0,0,0,1,1,0,1
7.071084000,1,0,0,0,0,1,0,1
7.071104833,1,0,0,0,0,0,0,1
7.071104875,0,0,0,0,0,0,0,1
7.071125667,0,0,0,0,1,0,0,1
7.071125708,1,0,0,0,1,1,0,1
7.071167375,0,0,0,0,0,0,0,1
7.071209042,1,0,0,0,1,1,0,1
7.071250750,0,0,0,0,0,0,0,1
7.071292417,1,0,0,0,1,1,0,1
7.071334083,1,0,0,0,0,0,0,1
7.071334125,0,0,0,0,0,0,0,1
7.071354958,0,0,0,1,0,0,0,1
7.071355042,0,1,0,1,0,0,0,1
7.071375792,1,1,0,1,1,1,0,1
7.071417458,0,1,0,1,0,0,0,1
7.071438333,0,0,0,0,0,0,0,1
7.071459167,1,0,0,0,1,1,0,1
7.071500833,0,0,0,0,0,0,0,1
7.071542500,1,0,0,0,1,1,0,1
7.071584208,0,0,0,0,0,0,0,1
7.071625875,1,0,0,0,1,1,0,1
7.071667542,1,0,0,0,0,1,0,1
7.071667583,0,0,0,0,0,0,0,1
7.071709250,1,0,0,0,1,1,0,1
7.071750917,0,0,0,0,0,0,0,1
7.071771792,0,0,0,1,0,0,0,1
7.071771875,0,1,0,1,0,0,0,1
7.071792625,1,1,0,1,1,1,0,1
7.071834292,0,1,0,1,0,0,0,1
7.071875958,1,1,0,1,1,1,0,1
7.071917667,0,1,0,1,0,0,0,1
7.071959333,1,1,0,1,1,1,0,1
7.072001042,0,1,0,1,0,0,0,1
7.072042708,1,1,0,1,1,1,0,1
7.072084375,0,1,0,1,0,0,0,1
7.072126083,1,1,0,1,1,1,0,1
7.072167750,0,1,0,1,0,0,0,1
7.072209417,0,1,0,1,1,1,0,1
7.072209458,1,1,0,1,1,1,0,1
7.072251125,0,1,0,1,0,0,0,1
7.072271958,0,0,0,0,0,0,0,1
7.072292792,1,0,0,0,1,1,0,1
7.072334500,0,0,0,0,0,0,0,1
7.072376167,1,0,0,0,1,1,0,1
7.072417833,1,0,0,0,0,0,0,1
7.072417875,0,0,0,0,0,0,0,1
7.072459542,1,0,0,0,1,1,0,1
7.072501208,0,0,0,0,0,0,0,1
7.072522042,0,0,0,1,0,0,0,1
7.072522167,0,1,0,1,0,0,0,1
7.072542875,0,1,0,1,1,0,0,1
7.072542917,1,1,0,1,1,1,0,1
7.072584583,0,1,0,1,0,0,0,1
7.072605417,0,0,0,0,0,1,0,1
7.072605542,1,0,0,0,0,1,0,1
7.072626250,1,0,0,0,1,1,0,1
7.072647125,1,0,0,1,1,1,0,1
7.072647208,1,1,0,1,1,1,0,1
7.072667958,1,1,0,1,0,1,0,1
7.072688792,1,0,0,1,0,1,0,0
7.072688875,1,1,0,1,0,1,0,0
7.072709625,1,1,0,1,1,1,0,0
7.072751292,1,1,0,1,0,1,0,0
7.072793000,1,1,0,1,1,1,0,0
7.072834667,1,1,0,1,0,1,0,0
7.072876375,1,1,0,1,1,1,0,0
7.072918042,1,1,0,1,0,1,0,0
7.072959708,1,1,0,1,1,1,0,0
7.073001417,1,1,0,1,0,1,0,0
7.073043083,1,1,0,1,1,1,0,0
7.073084750,1,1,0,1,0,1,0,0
7.073126458,1,1,0,1,1,1,0,0
7.073168125,1,1,0,1,0,1,0,0
7.073209833,1,1,0,1,1,1,0,0
7.073251500,1,1,0,1,0,1,0,0
7.073261125,1,1,0,1,0,1,0,0
